out_name,units,long_name,standard_name,priority,comments,frequency
ta300,K,Air Temperature,air_temperature,TIER1,,mon
ta300,K,Air Temperature,air_temperature,TIER1,,day
ta300,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta250,K,Air Temperature,air_temperature,TIER1,,mon
ta250,K,Air Temperature,air_temperature,TIER1,,day
ta250,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta200,K,Air Temperature,air_temperature,TIER1,,mon
ta200,K,Air Temperature,air_temperature,TIER1,,day
ta200,K,Air Temperature,air_temperature,TIER1,,6hrPt
hus1000,1,Specific Humidity,specific_humidity,TIER1,,mon
hus1000,1,Specific Humidity,specific_humidity,TIER1,,day
hus1000,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus925,1,Specific Humidity,specific_humidity,TIER1,,mon
hus925,1,Specific Humidity,specific_humidity,TIER1,,day
hus925,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus850,1,Specific Humidity,specific_humidity,TIER1,,mon
hus850,1,Specific Humidity,specific_humidity,TIER1,,day
hus850,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus700,1,Specific Humidity,specific_humidity,TIER1,,mon
hus700,1,Specific Humidity,specific_humidity,TIER1,,day
hus700,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus600,1,Specific Humidity,specific_humidity,TIER1,,mon
hus600,1,Specific Humidity,specific_humidity,TIER1,,day
hus600,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus500,1,Specific Humidity,specific_humidity,TIER1,,mon
hus500,1,Specific Humidity,specific_humidity,TIER1,,day
hus500,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus400,1,Specific Humidity,specific_humidity,TIER1,,mon
hus400,1,Specific Humidity,specific_humidity,TIER1,,day
hus400,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus300,1,Specific Humidity,specific_humidity,TIER1,,mon
hus300,1,Specific Humidity,specific_humidity,TIER1,,day
hus300,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus250,1,Specific Humidity,specific_humidity,TIER1,,mon
hus250,1,Specific Humidity,specific_humidity,TIER1,,day
hus250,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
hus200,1,Specific Humidity,specific_humidity,TIER1,,mon
hus200,1,Specific Humidity,specific_humidity,TIER1,,day
hus200,1,Specific Humidity,specific_humidity,TIER1,,6hrPt
zg1000,m,Geopotential Height,geopotential_height,TIER1,,mon
